,codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada,longitud,latitud
0,3061,2522,AV.PABLO NERUDA-MALGRAT MAR,54,Avda de Pablo Neruda 2,28038,13,-3.6416204819146,40.3926611050292
1,3061,2522,AV.PABLO NERUDA-MALGRAT MAR,142,Avda de Pablo Neruda 2,28038,13,-3.6416204819146,40.3926611050292
2,3061,2522,AV.PABLO NERUDA-MALGRAT MAR,144,Avda de Pablo Neruda 2,28038,13,-3.6416204819146,40.3926611050292
3,3007,1748,CERRO DEL CASTAÑAR-MORALZARZAL,134,Calle del Cerro del Castañar 167,28034,8,-3.71389570471666,40.494057864999
4,3066,2530,ANDALUCES-SAN CLAUDIO,54,Calle de los Andaluces 9,28038,13,-3.63627950289022,40.3898076521388
5,2948,1800,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,23,Ctra de Villaverde a Vallecas 33,28041,17,-3.68302704691701,40.360018581082
6,2948,1800,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,130,Ctra de Villaverde a Vallecas 33,28041,17,-3.68302704691701,40.360018581082
7,2953,3215,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,131,Ctra de Carabanchel a Villaverde 82,28021,17,-3.71133430633633,40.3538751615276
8,2958,3213,RAFAELA YBARRA-UNIDAD,131,Avda de Rafaela Ybarra 109,28041,12,-3.71225173942405,40.3697075607924
9,2960,3281,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,132,Avda de las Moreras SN,28040,9,-3.71944521002462,40.4511364010808
10,2961,3283,ARQ.SANCHEZ ARCAS-MORERAS,132,Calle del Almirante Francisco Moreno 2,28040,9,-3.7166640236287,40.4528563481728
11,2964,1514,CESAR MANRIQUE-JUAN SANCHEZ,127,Calle de César Manrique SN,28035,8,-3.72067112812711,40.4740565905214
12,2964,1514,CESAR MANRIQUE-JUAN SANCHEZ,132,Calle de César Manrique SN,28035,8,-3.72067112812711,40.4740565905214
13,2964,1514,CESAR MANRIQUE-JUAN SANCHEZ,N21,Calle de César Manrique SN,28035,8,-3.72067112812711,40.4740565905214
14,2977,3284,ARQ.SANCHEZ ARCAS-MORERAS,132,Calle del Almirante Francisco Moreno 3,28040,9,-3.71691174770412,40.45293139077
15,2978,3282,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,132,Avda de las Moreras 5,28040,9,-3.71978626324952,40.4511162632207
16,2979,3280,AV.MORERAS-RAMIRO DE MAEZTU,132,Avda de las Moreras SN,28040,9,-3.721403411452,40.4489755731852
17,2354,1445,J.JOSE MTNEZ.SECO-DIAMANTE,85,Calle de Juan José Martínez Seco 61,28021,17,-3.68725513475584,40.35188534989
18,2354,1445,J.JOSE MTNEZ.SECO-DIAMANTE,123,Calle de Juan José Martínez Seco 61,28021,17,-3.68725513475584,40.35188534989
19,2355,1443,J.JOSE MTNEZ.SECO-BENITA LOPEZ,85,Calle de Juan José Martínez Seco 7,28021,17,-3.68984891329244,40.3518248879398
20,2355,1443,J.JOSE MTNEZ.SECO-BENITA LOPEZ,123,Calle de Juan José Martínez Seco 7,28021,17,-3.68984891329244,40.3518248879398
21,2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,18,Calle de la Virgen de los Desamparados 4,28041,17,-3.69890835456021,40.3514012112656
22,2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,86,Calle de la Virgen de los Desamparados 4,28041,17,-3.69890835456021,40.3514012112656
23,2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,116,Calle de la Virgen de los Desamparados 4,28041,17,-3.69890835456021,40.3514012112656
24,2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,N14,Calle de la Virgen de los Desamparados 4,28041,17,-3.69890835456021,40.3514012112656
25,2359,1190,VIRGEN DE LOS DESAMPARADOS,18,Calle de la Virgen de los Desamparados 4,28041,17,-3.69863372121108,40.3510334929895
26,2359,1190,VIRGEN DE LOS DESAMPARADOS,86,Calle de la Virgen de los Desamparados 4,28041,17,-3.69863372121108,40.3510334929895
