codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
3061,2522,AV.PABLO NERUDA-MALGRAT MAR,54,Avda de Pablo Neruda 2,28038,13
3061,2522,AV.PABLO NERUDA-MALGRAT MAR,142,Avda de Pablo Neruda 2,28038,13
3061,2522,AV.PABLO NERUDA-MALGRAT MAR,144,Avda de Pablo Neruda 2,28038,13
3007,1748,CERRO DEL CASTAÑAR-MORALZARZAL,134,Calle del Cerro del Castañar 167,28034,8
3066,2530,ANDALUCES-SAN CLAUDIO,54,Calle de los Andaluces 9,28038,13
2948,1800,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,23,Ctra de Villaverde a Vallecas 33,28041,17
2948,1800,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,130,Ctra de Villaverde a Vallecas 33,28041,17
2953,3215,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,131,Ctra de Carabanchel a Villaverde 82,28021,17
2958,3213,RAFAELA YBARRA-UNIDAD,131,Avda de Rafaela Ybarra 109,28041,12
2960,3281,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,132,Avda de las Moreras SN,28040,9
2961,3283,ARQ.SANCHEZ ARCAS-MORERAS,132,Calle del Almirante Francisco Moreno 2,28040,9
2964,1514,CESAR MANRIQUE-JUAN SANCHEZ,127,Calle de César Manrique SN,28035,8
2964,1514,CESAR MANRIQUE-JUAN SANCHEZ,132,Calle de César Manrique SN,28035,8
2964,1514,CESAR MANRIQUE-JUAN SANCHEZ,N21,Calle de César Manrique SN,28035,8
2977,3284,ARQ.SANCHEZ ARCAS-MORERAS,132,Calle del Almirante Francisco Moreno 3,28040,9
2978,3282,AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,132,Avda de las Moreras 5,28040,9
2979,3280,AV.MORERAS-RAMIRO DE MAEZTU,132,Avda de las Moreras SN,28040,9
2354,1445,J.JOSE MTNEZ.SECO-DIAMANTE,85,Calle de Juan José Martínez Seco 61,28021,17
2354,1445,J.JOSE MTNEZ.SECO-DIAMANTE,123,Calle de Juan José Martínez Seco 61,28021,17
2355,1443,J.JOSE MTNEZ.SECO-BENITA LOPEZ,85,Calle de Juan José Martínez Seco 7,28021,17
2355,1443,J.JOSE MTNEZ.SECO-BENITA LOPEZ,123,Calle de Juan José Martínez Seco 7,28021,17
2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,18,Calle de la Virgen de los Desamparados 4,28041,17
2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,86,Calle de la Virgen de los Desamparados 4,28041,17
2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,116,Calle de la Virgen de los Desamparados 4,28041,17
2357,1189,VIRGEN DE LOS DESAMPARADOS-TOTANES,N14,Calle de la Virgen de los Desamparados 4,28041,17
2359,1190,VIRGEN DE LOS DESAMPARADOS,18,Calle de la Virgen de los Desamparados 4,28041,17
2359,1190,VIRGEN DE LOS DESAMPARADOS,86,Calle de la Virgen de los Desamparados 4,28041,17
2359,1190,VIRGEN DE LOS DESAMPARADOS,116,Calle de la Virgen de los Desamparados 4,28041,17
2359,1190,VIRGEN DE LOS DESAMPARADOS,N14,Calle de la Virgen de los Desamparados 4,28041,17
2360,3434,ARROYO POZUELO-HINOJO,160,Calle de la Pasionaria 24,28023,9
2366,2878,EMILIO RUBIN-ARTURO SORIA,87,Calle de Emilio Rubín 2,28033,15
2367,2879,MONTEARAGON Nº 8,87,Calle de Montearagón 8,28033,16
2371,5208,Cº DE MONTORO-Cº VIEJO DE BURGOS,87,Cmno de Montoro 1,28050,16
2371,5208,Cº DE MONTORO-Cº VIEJO DE BURGOS,N2,Cmno de Montoro 1,28050,16
2374,2896,Cº DEL OLIVAR-GRAMA,87,Cmno del Olivar 8,28050,16
2378,2891,GREGORIO SANCHEZ HERRAEZ,87,Calle de Gregorio Sánchez Herráez 14,28033,16
2378,2891,GREGORIO SANCHEZ HERRAEZ,N2,Calle de Gregorio Sánchez Herráez 14,28033,16
2382,2737,AV.BUCARAMANGA-GTA.CHARALA,87,Gta de Charala SN,28033,16
2385,2882,GRAN VIA HORTALEZA-HARO,87,G.v. de Hortaleza 48,28043,16
2254,1721,ARROYOFRESNO-AV.C.HERRERA ORIA,82,Calle de Arroyofresno 29,28035,8
2255,1719,CANTALEJO-ARROYOFRESNO,82,Calle de Cantalejo 2,28035,8
2265,1700,AV.MIRAFLORES-CTRA.DEHESA VILLA,82,Avda de Miraflores 1,28035,9
2265,1700,AV.MIRAFLORES-CTRA.DEHESA VILLA,N20,Avda de Miraflores 1,28035,9
2266,1698,PARANINFO-CIEMAT,82,Avda  Complutense 11,28040,9
2266,1698,PARANINFO-CIEMAT,N20,Avda  Complutense 11,28040,9
821,847,FTE.CARRANTONA-ARROYO FONTARRON,20,Calle de la Fuente Carrantona 2,28030,14
821,847,FTE.CARRANTONA-ARROYO FONTARRON,142,Calle de la Fuente Carrantona 2,28030,14
821,847,FTE.CARRANTONA-ARROYO FONTARRON,144,Calle de la Fuente Carrantona 2,28030,14
826,852,PZA.DEL ENCUENTRO,20,Calle de la Hacienda de Pavones 3,28030,14
826,852,PZA.DEL ENCUENTRO,30,Calle de la Hacienda de Pavones 3,28030,14
