OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
1,6,283802,091,F,2,1,1531,*,,9,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,19991221,19861001,,321.4525,11.071,6,_,,,6__91_____2_IT_1_6_1531_*__TI_I_9,,,,6__91___,6__91_____2_IT_1,6_1531,6_1531_*,6_1531_,
2,6,283736,127,127,2,1,1531,*,,28,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,19991221,19961019,,311.1068,12.75,6,_,,,6__127_____2_IT_1_6_1531_*__TI_I_28,,,,6__127___,6__127_____2_IT_1,6_1531,6_1531_*,6_1531_,
3,6,283890,068,C1,2,1,1531,*,,25,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,19991221,19861001,,321.4525,11.726,6,_,,,6__68_____2_IT_1_6_1531_*__TI_I_25,,,,6__68___,6__68_____2_IT_1,6_1531,6_1531_*,6_1531_,
4,6,364386,045,45,2,1,1531,*,,4,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,20191112,20191112,,321.4541,0,6,_,,,6__45_____2_IT_1_6_1531_*__TI_I_4,,-,,6__45___,6__45____-_2_IT_1,6_1531,6_1531_*,6_1531_,
5,6,364386,045,45,2,1,1532,*,,7,TI,I,CRISTOBAL BORDIU-STA.ENGRACIA,28,079,MADRID,A,Calle de Cristóbal Bordiú N 6,20191112,20191112,,320.3234,10.878,6,_,,,6__45_____2_IT_1_6_1532_*__TI_I_7,,-,,6__45___,6__45____-_2_IT_1,6_1532,6_1532_*,6_1532_,
6,6,364386,045,45,2,1,1533,*,,8,TI,I,CRISTOBAL BORDIU-ALENZA,28,079,MADRID,A,Calle de Cristóbal Bordiú N 30,20191112,20191112,,213.3837,0,6,93_316,,,6__45_____2_IT_1_6_1533_*__TI_I_8,,-,,6__45___,6__45____-_2_IT_1,6_1533,6_1533_*,6_1533_,
7,6,364386,045,45,2,1,1534,*,,9,TI,I,CRISTOBAL BORDIU-ALONSO CANO,28,079,MADRID,A,Calle de Cristóbal Bordiú N 40,20191112,20191112,,273.4024,0,6,_,,,6__45_____2_IT_1_6_1534_*__TI_I_9,,-,,6__45___,6__45____-_2_IT_1,6_1534,6_1534_*,6_1534_,
8,6,364386,045,45,2,1,1535,*,,10,TI,I,AGUSTIN BETANCOURT-C.BORDIU,28,079,MADRID,A,Calle de Agustín de Betancourt N 3,20191112,20191112,,271.5799,0,6,_,,,6__45_____2_IT_1_6_1535_*__TI_I_10,,-,,6__45___,6__45____-_2_IT_1,6_1535,6_1535_*,6_1535_,
9,6,331943,019,19,1,1,1537,*,,24,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20030414,20030308,,343.9052,12.556,6,92_11,,,6__19_____1_IT_1_6_1537_*__TI_I_24,,,,6__19___,6__19_____1_IT_1,6_1537,6_1537_*,6_1537_,
10,6,359517,047,47,1,1,1537,*,,7,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20170525,20170524,,343.9037,0,6,92_11,,,6__47_A____1_IT_1_6_1537_*__TI_I_7,,,,6__47_A__,6__47_A____1_IT_1,6_1537,6_1537_*,6_1537_,
